ref,as_cited_in_manuscript,verified_record,verified_pmid,discrepancy_class,severity
[1],"Hurlbert SH. Pseudoreplication and the design of ecological field experiments. Ecol Monogr 1984;54:187-211.","Matches the canonical record; journal not indexed in PubMed for this year so verified against the bibliographic record only.",not_in_pubmed,none,OK
[2],"Squair JW, Kartha VK, Costa BM, et al. Confronting false discoveries in single-cell differential expression. Nat Commun 2021;12:5693.","Squair JW, Gautier M, Kathe C, et al. Confronting false discoveries in single-cell differential expression. Nat Commun 2021;12:5692.",34584091,"co-author names incorrect (Kartha VK / Costa BM do not appear in the author list); article number 5693 should be 5692",MAJOR
[3],"Zimmerman KA, Crawford ED, Mukherjee S. On the validity of methods for differential expression analysis in single-cell RNA-seq data. Genome Biol 2021;22:38.","NO SUCH RECORD. Nearest intended source: Zimmerman KD, Espeland MA, Langefeld CD. A practical solution to pseudoreplication bias in single-cell studies. Nat Commun 2021;12:738.",33531494,"non-existent citation: title, journal, volume, pages and two of three authors all fail verification",CRITICAL
[4],"Kapoor S, Narayanan P. Leakage in machine learning pipelines for biomedical data. Bioinformatics 2023;39:btad588.","NO SUCH RECORD. Nearest intended source: Kapoor S, Narayanan A. Leakage and the reproducibility crisis in machine-learning-based science. Patterns 2023;4:100804.",37720327,"non-existent citation: title, journal, volume, article number wrong; second author initial wrong (P should be A)",CRITICAL
[5],"Jha MK, et al. Single-cell transcriptomics and cell-specific proteomics reveals molecular regulators of sleep. Commun Biol 2022;5:846.","Jha PK, Valekunja UK, Ray S, et al. Single-cell transcriptomics and cell-specific proteomics reveals molecular signatures of sleep. Commun Biol 2022;5:846.",35986171,"first-author initials wrong (MK should be PK); title word 'regulators' should be 'signatures'",MAJOR
[6],"Guo J, et al. ... Cell Rep 2024;43:114192.","Guo X, Keenan BT, Reiner BC, et al. Cell Rep 2024;43:114192.",38703367,"first-author initial wrong (J should be X)",MINOR
[7],"Kim SJ, et al. Kinase signalling in excitatory neurons regulates sleep quantity and depth. Nature 2022;612:512-518.","Kim SJ, Hotta-Hirashima N, Asano F, et al. Nature 2022;612:512-518.",36477539,none,OK
[8],"Sang D, et al. Prolonged sleep deprivation induces a cytokine-storm-like syndrome in mammals. Cell 2023;186:5500-5516.","Sang D, Lin K, Yang Y, et al. Cell 2023;186:5500-5516.e21.",38016470,"page range should carry the .e21 electronic-pages suffix (house-style, non-substantive)",MINOR
[9],"Cao H, et al. Tryptamine from wake-active monoaminergic neurons regulates sleep homeostasis. Nat Neurosci 2026;29:1942-1953.","Cao H, Wang K, Zhao J, et al. Nat Neurosci 2026;29:1942-1953.",42321470,none,OK
[10],"Li Y, et al. A global transcriptional atlas of the effect of acute sleep deprivation in mice. iScience 2024;27:110752.","Ford K, Zuin E, Righelli D, et al. A global transcriptional atlas of the effect of acute sleep deprivation in the mouse frontal cortex. iScience 2024;27:110752.",39280614,"first author wrong (Li Y is not an author of record); title truncated in a way that removes the tissue restriction ('in the mouse frontal cortex'), which is material because the manuscript's Table 1 relies on this tissue",MAJOR
[11],"Bruggemann L, et al. Sleep need driven oscillation of glutamate synaptic phenotype. eLife 2025;13:RP96111.","Vogt KE, Kulkarni A, Pandey R, et al. Sleep need driven oscillation of glutamate synaptic phenotype. eLife 2025;13:e98280 (doi 10.7554/eLife.98280).",39950545,"first author wrong; eLife article identifier wrong (RP96111 is a different reviewed-preprint number)",MAJOR
[12],"Chen X, et al. Sleep need-dependent plasticity of a thalamic circuit promotes homeostatic recovery sleep. Science 2025;388:1306-1313.","Lee SS, Liu Q, Cheng AHR, et al. Science 2025;388:eadm8203 (doi 10.1126/science.adm8203).",40536979,"first author wrong; Science has used electronic locators since 2021 - the page range 1306-1313 does not exist for this article",MAJOR
